ds,yhat
2021-10-27,44.07276483666696
2021-10-28,44.2611663903482
2021-10-29,44.4500934454089
2021-10-30,44.63947761172049
2021-10-31,44.82761494310847
2021-11-01,45.01590695184454
2021-11-02,45.20478646258744
2021-11-03,45.40685194815157
2021-11-04,45.59525350183284
2021-11-05,45.78418055689351
2021-11-06,45.973564723205115
2021-11-07,46.16170205459308
2021-11-08,46.349994063329135
2021-11-09,46.53887357407207
2021-11-10,46.74093905963615
2021-11-11,46.92934061331743
2021-11-12,47.11826766837812
2021-11-13,47.30765183468971
2021-11-14,47.4957891660777
2021-11-15,47.68408117481376
2021-11-16,47.87296068555667
2021-11-17,48.07502617112078
2021-11-18,48.26342772480206
2021-11-19,48.45235477986273
2021-11-20,48.641738946174335
2021-11-21,48.82987627756232
2021-11-22,49.01816828629837
2021-11-23,49.20704779704129
2021-11-24,49.40911328260539
2021-11-25,49.597514836286656
2021-11-26,49.78644189134735
2021-11-27,49.97582605765894
2021-11-28,50.16396338904693
2021-11-29,50.35225539778299
2021-11-30,50.54113490852591
2021-12-01,50.743200394089975
2021-12-02,50.93160194777126
2021-12-03,51.12052900283196
2021-12-04,51.30991316914356
2021-12-05,51.498050500531534
2021-12-06,51.6863425092676
2021-12-07,51.8752220200105
2021-12-08,52.0772875055746
2021-12-09,52.26568905925587
2021-12-10,52.45461611431657
2021-12-11,52.64400028062817
2021-12-12,52.83213761201615
2021-12-13,53.0204296207522
2021-12-14,53.20930913149512
2021-12-15,53.41137461705922
2021-12-16,53.59977617074049
2021-12-17,53.788703225801186
2021-12-18,53.97808739211279
2021-12-19,54.16622472350078
2021-12-20,54.35451673223681
2021-12-21,54.54339624297974
2021-12-22,54.74546172854384
2021-12-23,54.93386328222511
2021-12-24,55.122790337285785
2021-12-25,55.31217450359738
2021-12-26,55.500311834985375
2021-12-27,55.68860384372142
2021-12-28,55.877483354464324
2021-12-29,56.07954884002845
2021-12-30,56.26795039370972
2021-12-31,56.45687744877039
2022-01-01,56.64626161508201
2022-01-02,56.834398946469975
2022-01-03,57.02269095520604
2022-01-04,57.211570465948945
2022-01-05,57.413635951513065
2022-01-06,57.60203750519434
2022-01-07,57.790964560255006
2022-01-08,57.98034872656662
2022-01-09,58.16848605795459
2022-01-10,58.356778066690644
2022-01-11,58.54565757743356
2022-01-12,58.747723062997686
2022-01-13,58.936124616678924
2022-01-14,59.125051671739634
2022-01-15,59.314435838051224
2022-01-16,59.5025731694392
2022-01-17,59.690865178175265
2022-01-18,59.879744688918166
2022-01-19,60.081810174482264
2022-01-20,60.27021172816355
2022-01-21,60.45913878322424
2022-01-22,60.64852294953584
2022-01-23,60.8366602809238
2022-01-24,61.02495228965988
