,predicted_mean
2021-08-22,31.0061102316505
2021-08-23,31.220502314821932
2021-08-24,31.43303340451031
2021-08-25,31.643998701770133
2021-08-26,31.85340717854003
2021-08-27,32.061522118480774
2021-08-28,32.26832611459434
2021-08-29,32.47405644823879
2021-08-30,32.67867462869774
2021-08-31,32.88239671453828
2021-09-01,33.085167406173376
2021-09-02,33.287185401687424
2021-09-03,33.48838204335483
2021-09-04,33.688941790260195
2021-09-05,33.888785411667044
2021-09-06,34.08808565077498
2021-09-07,34.28675495138615
2021-09-08,34.48495638062211
2021-09-09,34.68259587019912
2021-09-10,34.879828460591796
2021-09-11,35.07655503414939
2021-09-12,35.27292393881442
2021-09-13,35.468832187086626
2021-09-14,35.66442251379932
2021-09-15,35.85958901240096
2021-09-16,36.05446967831187
2021-09-17,36.24895645201215
2021-09-18,36.443183297027105
2021-09-19,36.63704061777723
2021-09-20,36.83065891917509
2021-09-21,37.023927566021776
2021-09-22,37.21697406946343
2021-09-23,37.40968715383817
2021-09-24,37.602191713774054
2021-09-25,37.794376153744764
2021-09-26,37.986363058341176
2021-09-27,38.17804076933751
2021-09-28,38.36952981059484
2021-09-29,38.560718667134786
2021-09-30,38.751726005202194
2021-10-01,38.94244061766088
2021-10-02,39.132979478927346
2021-10-03,39.32323182091892
2021-10-04,39.51331306184885
2021-10-05,39.70311297695152
2021-10-06,39.892745539484615
2021-10-07,40.08210115051346
2021-10-08,40.27129242988331
2021-10-09,40.46021046945275
2021-10-10,40.64896661126764
2021-10-11,40.8374526887812
2021-10-12,41.02577882897139
2021-10-13,41.213837646264935
2021-10-14,41.401738104884274
2021-10-15,41.58937363039765
2021-10-16,41.77685206815426
2021-10-17,41.96406767760716
2021-10-18,42.151127222291095
2021-10-19,42.337925812305016
2021-10-20,42.52456916090226
2021-10-21,42.710953240771545
2021-10-22,42.897182741940405
2021-10-23,43.08315450775471
2021-10-24,43.26897222844121
2021-10-25,43.45453362295357
2021-10-26,43.63994140219624
2021-10-27,43.82509416317815
2021-10-28,44.01009365556605
2021-10-29,44.194839354863646
2021-10-30,44.37943206563729
2021-10-31,44.5637721407171
2021-11-01,44.747959454119695
2021-11-02,44.9318952335483
2021-11-03,45.11567843572533
2021-11-04,45.29921115974955
2021-11-05,45.48259145724512
2021-11-06,45.665722294414984
2021-11-07,45.848700829111856
2021-11-08,46.03143088970747
2021-11-09,46.214008750894585
2021-11-10,46.39633909777149
2021-11-11,46.57851733189157
2021-11-12,46.760448989241084
2021-11-13,46.94222860776437
2021-11-14,47.12376256818995
2021-11-15,47.3051445539745
2021-11-16,47.48628178420791
2021-11-17,47.667267096637495
2021-11-18,47.84800854215642
2021-11-19,48.028598121291154
2021-11-20,48.20894471004953
2021-11-21,48.38913947997904
2021-11-22,48.569092125420696
2021-11-23,48.74889299697324
2021-11-24,48.92845260046674
2021-11-25,49.10786047339811
2021-11-26,49.2870279262041
2021-11-27,49.46604369096638
2021-11-28,49.644819875827274
2021-11-29,49.82344441499824
2021-11-30,50.001830207423
2021-12-01,50.180064396861425
2021-12-02,50.35806066616395
2021-12-03,50.53590537594351
2021-12-04,50.7135129860821
2021-12-05,50.890969081246475
2021-12-06,51.06818889150261
2021-12-07,51.24525723267621
2021-12-08,51.42209009820348
2021-12-09,51.59877154208547
2021-12-10,51.775218314353765
2021-12-11,51.95151371411787
2021-12-12,52.12757524127279
2021-12-13,52.30348544689104
2021-12-14,52.479162574045
2021-12-15,52.65468843254999
2021-12-16,52.82998200201807
2021-12-17,53.00512435771556
2021-12-18,53.18003520920671
2021-12-19,53.35479490384815
2021-12-20,53.529323874620374
2021-12-21,53.70370174754303
2021-12-22,53.87784967252947
2021-12-23,54.051846560770365
2021-12-24,54.22561427268187
2021-12-25,54.399231011070626
2021-12-26,54.57261934047931
2021-12-27,54.745856761713895
2021-12-28,54.918866537121374
2021-12-29,55.09172547183009
2021-12-30,55.26435751972334
2021-12-31,55.436838796515616
2022-01-01,55.6090939414128
2022-01-02,55.78119838692105
2022-01-03,55.95307745140925
2022-01-04,56.1248058903234
2022-01-05,56.29630969508985
2022-01-06,56.46766295018607
2022-01-07,56.63879231404408
2022-01-08,56.809771206208666
2022-01-09,56.980526946119305
2022-01-10,57.15113229436883
2022-01-11,57.321515225459144
2022-01-12,57.49174784695742
2022-01-13,57.66175878253588
2022-01-14,57.8316194926085
2022-01-15,58.001259244178186
2022-01-16,58.17074885632497
2022-01-17,58.340018233594954
2022-01-18,58.509137559500786
2022-01-19,58.67803737039604
2022-01-20,58.84678721994038
2022-01-21,59.015318270610486
2022-01-22,59.18369945187583
2022-01-23,59.351862546702726
2022-01-24,59.51987586598215
